name,node_p,node_g,is_gas,min_cap_mw,max_cap_mw,fuel_cost_dollars_per_mwh,efficiency_gj_in_per_mwh_out
BASN_Biomass,0,0,False,0,27.5,66.375,14.005868399999999
BASN_Conventional Hydroelectric,0,0,False,0,1348.9848,0.0,10.90927904
BASN_Conventional Steam Coal,0,0,False,0,2766.4,19.1268,12.01181256
BASN_Geothermal,0,0,False,0,583.0,0.0,10.90927904
BASN_LandbasedWind_Class1_Moderate_,0,0,False,0,0.0,0.0,0.0
BASN_Natural Gas Fired Combined Cycle,0,0,True,0,8151.9,28.101000000000003,8.72003784
BASN_Natural Gas Fired Combustion Turbine,0,0,True,0,2359.2,47.77,14.823536800000001
BASN_Natural Gas Internal Combustion Engine,0,0,True,0,226.9,31.756,9.854223039999999
BASN_Natural Gas Steam Turbine,0,0,True,0,357.2,54.502,16.91254768
BASN_NaturalGas_CCAvgCF_Moderate,0,0,True,0,0.0,21.624,6.71015616
BASN_NaturalGas_CTAvgCF_Moderate,0,0,True,0,0.0,33.048,10.255144320000001
BASN_Onshore Wind Turbine,0,0,False,0,193.7316,0.0,10.90927904
BASN_Petroleum Liquids,0,0,False,0,51.2,308.9631,15.60427824
BASN_Small Hydroelectric,0,0,False,0,128.6082,0.0,10.90927904
BASN_Solar Photovoltaic,0,0,False,0,7229.159299999999,0.0,10.90927904
BASN_UtilityPV_Class1_Moderate_,0,0,False,0,0.0,0.0,0.0
BASN_distributed_generation,0,0,False,0,2713.864,0.0,0.0
CANO_Biomass,1,1,False,0,237.4,86.30000000000001,18.21026656
CANO_Conventional Hydroelectric,1,1,False,0,2084.824,0.0,10.90927904
CANO_Geothermal,1,1,False,0,729.7,0.0,10.90927904
CANO_LandbasedWind_Class1_Moderate_70,1,1,False,0,0.0,0.0,0.0
CANO_Natural Gas Fired Combined Cycle,1,1,True,0,11571.7,33.9446,10.05995896
CANO_Natural Gas Fired Combustion Turbine,1,1,True,0,4737.7,50.4274,14.944868239999998
CANO_Natural Gas Internal Combustion Engine,1,1,True,0,329.1,35.3152,10.46615552
CANO_Natural Gas Steam Turbine,1,1,True,0,2.9,43.9304,13.01939104
CANO_NaturalGas_CCAvgCF_Moderate,1,1,True,0,0.0,22.6416,6.71015616
CANO_NaturalGas_CTAvgCF_Moderate,1,1,True,0,0.0,34.6032,10.255144320000001
CANO_OffShoreWind_Class12_Moderate_floating_0_125,1,1,False,0,0.0,0.0,0.0
CANO_OffShoreWind_Class12_Moderate_floating_1_100,1,1,False,0,0.0,0.0,0.0
CANO_Onshore Wind Turbine,1,1,False,0,126.36950000000002,0.0,10.90927904
CANO_Petroleum Liquids,1,1,False,0,326.8,302.35450000000003,15.8785928
CANO_Small Hydroelectric,1,1,False,0,47.236000000000004,0.0,10.90927904
CANO_Solar Photovoltaic,1,1,False,0,4919.030400000001,0.0,10.90927904
CANO_UtilityPV_Class1_Moderate_40,1,1,False,0,0.0,0.0,0.0
CANO_distributed_generation,1,1,False,0,9021.132,0.0,0.0
CASO_Biomass,2,2,False,0,143.4,75.875,16.0104748
CASO_Conventional Hydroelectric,2,2,False,0,307.00010000000003,0.0,10.90927904
CASO_Conventional Steam Coal,2,2,False,0,57.0,21.6698,11.78497552
CASO_Geothermal,2,2,False,0,169.8,0.0,10.90927904
CASO_LandbasedWind_Class1_Moderate_,2,2,False,0,0.0,0.0,0.0
CASO_Natural Gas Fired Combined Cycle,2,2,True,0,9767.0,38.6438,11.452632880000001
CASO_Natural Gas Fired Combustion Turbine,2,2,True,0,6851.4,47.757400000000004,14.153576240000001
CASO_Natural Gas Internal Combustion Engine,2,2,True,0,52.0,33.3216,9.87532416
CASO_Natural Gas Steam Turbine,2,2,True,0,642.5,42.7556,12.67122256
CASO_NaturalGas_CCAvgCF_Moderate,2,2,True,0,0.0,22.6416,6.71015616
CASO_NaturalGas_CTAvgCF_Moderate,2,2,True,0,0.0,34.6032,10.255144320000001
CASO_OffShoreWind_Class12_Moderate_floating_0_100,2,2,False,0,0.0,0.0,0.0
CASO_OffShoreWind_Class12_Moderate_floating_1_150,2,2,False,0,0.0,0.0,0.0
CASO_Onshore Wind Turbine,2,2,False,0,447.3858,0.0,10.90927904
CASO_Petroleum Liquids,2,2,False,0,45.0,208.1324,10.930380159999999
CASO_Small Hydroelectric,2,2,False,0,12.7908,0.0,10.90927904
CASO_Solar Photovoltaic,2,2,False,0,11999.8788,0.0,10.90927904
CASO_UtilityPV_Class1_Moderate_40,2,2,False,0,0.0,0.0,0.0
CASO_distributed_generation,2,2,False,0,13996.8,0.0,0.0
FRCC_Biomass,3,3,False,0,271.20000000000005,79.17500000000001,16.70681176
FRCC_Conventional Hydroelectric,3,3,False,0,13.5285,0.0,10.90927904
FRCC_Conventional Steam Coal,3,3,False,0,4867.0,26.2416,11.985436159999999
FRCC_LandbasedWind_Class1_Moderate_,3,3,False,0,0.0,0.0,0.0
FRCC_Natural Gas Fired Combined Cycle,3,3,True,0,38478.4,12.834,3.76127464
FRCC_Natural Gas Fired Combustion Turbine,3,3,True,0,9402.8,45.612,13.36755952
FRCC_Natural Gas Internal Combustion Engine,3,3,True,0,250.9,32.868,9.63266128
FRCC_Natural Gas Steam Turbine,3,3,True,0,2918.5,41.616,12.19644736
FRCC_NaturalGas_CCAvgCF_Moderate,3,3,True,0,0.0,22.896,6.71015616
FRCC_NaturalGas_CTAvgCF_Moderate,3,3,True,0,0.0,34.992000000000004,10.255144320000001
FRCC_Nuclear,3,3,False,0,3737.0,7.210499999999999,11.025335199999999
FRCC_OffShoreWind_Class3_Moderate_fixed_0,3,3,False,0,0.0,0.0,0.0
