from_node,to_node,reactance_pu,capacity_mw
1,2,0.3,100.0
1,3,0.3,5920.0
1,10,0.3,3350.0
1,17,0.3,3750.0
1,24,0.3,5385.0
2,3,0.3,3675.0
2,10,0.3,3675.0
3,10,0.3,2858.0
3,24,0.3,4354.0
4,23,0.3,3600.0
5,11,0.3,760.0
5,12,0.3,1400.0
6,7,0.3,0.0
6,8,0.3,1039.0
6,9,0.3,1655.0
6,13,0.3,5244.0
6,16,0.3,5441.0
6,18,0.3,1430.0
6,19,0.3,0.0
6,20,0.3,1172.0
6,22,0.3,3745.0
7,9,0.3,0.0
7,16,0.3,2662.0
8,18,0.3,0.0
8,20,0.3,1697.0
8,22,0.3,4092.0
8,23,0.3,891.0
9,10,0.3,200.0
9,13,0.3,3200.0
9,18,0.3,0.0
9,19,0.3,5512.0
10,17,0.3,400.0
11,12,0.3,2489.0
11,15,0.3,660.0
12,15,0.3,1255.0
13,16,0.3,980.0
14,15,0.3,1200.0
14,16,0.3,6930.0
14,21,0.3,1000.0
15,16,0.3,3885.0
16,21,0.3,1219.0
16,22,0.3,3333.0
17,18,0.3,210.0
17,19,0.3,410.0
17,24,0.3,614.0
18,19,0.3,1433.0
18,20,0.3,3372.0
19,20,0.3,0.0
20,24,0.3,1010.0
20,25,0.3,600.0
20,26,0.3,220.0
21,22,0.3,216.0
21,23,0.3,1400.0
22,23,0.3,3196.0
25,26,0.3,16529.0
10,19,0.3,0.0
24,25,0.3,0.0
