Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
2000.0,1.0,1.0,1.0,2000.0,1.0,168.0,1.0,1,11436,11203,17269,23044,15446,20773,9715,18269,23365,24701,8593,7643,12294,11793,30266,33709,10522,8587,5365,13345,23547,24861,24848,13074,39427,1852
,2.0,0.9,0.04,1800.0,,,,2,11232,11179,17240,22281,14942,19954,9349,17716,22441,24828,8263,7359,11735,11532,29121,32878,10073,7665,4769,12057,23532,24592,24693,12634,38448,1811
,3.0,0.55,0.024,1100.0,,,,3,10931,10575,16307,21975,14638,19565,9061,17651,21817,23533,8084,7161,11492,11424,28451,32232,9737,7476,4667,11877,23716,24353,24633,12503,38265,1809
,4.0,0.2,0.003,400.0,,,,4,10621,10048,15493,21614,14340,19103,8812,17424,21293,22799,7822,6895,11127,11358,27872,31445,9544,7374,4583,11611,23713,23963,24497,12354,37965,1804
,,,,,,,,5,10364,9579,14768,21433,14198,18694,8619,17242,20706,22059,7644,6718,10840,11424,27765,30881,9583,7241,4445,11443,24384,23382,24520,12180,37818,1806
,,,,,,,,6,9599,8668,13354,18544,11500,16426,8060,13098,19037,21253,6356,5746,9950,9945,23795,26799,8893,6587,4140,9272,20917,17893,20051,11162,31039,1443
,,,,,,,,7,9388,8251,12709,17629,11448,16405,8094,13033,19218,20514,6297,5665,9869,10035,23902,26602,8746,6539,4091,9139,20803,17727,19647,11014,30834,1431
,,,,,,,,8,9351,7981,12293,17690,11597,16488,8287,12683,19309,20192,6392,5734,9878,10637,24526,27049,8671,6631,4116,9011,21665,17806,19972,11070,30610,1424
,,,,,,,,9,9415,7867,12114,17964,11755,16652,8353,13407,19404,20314,6484,5776,10001,10780,24980,27278,8591,6724,4118,9675,20982,18458,20224,11249,32390,1509
,,,,,,,,10,9582,7756,11950,18764,12428,16990,8589,13859,19565,20459,6774,6014,10112,10945,25906,28188,8661,6758,4105,9986,20663,18888,20541,11645,33674,1573
,,,,,,,,11,9825,8163,12574,20078,13144,17444,8884,14778,20292,21798,7087,6279,10423,10755,26494,28786,8804,6974,4206,10341,20361,19480,20781,11758,35630,1667
,,,,,,,,12,10021,8648,13326,21954,14056,18118,9403,15300,21007,22713,7679,6780,10595,11495,28511,30748,9080,7120,4327,10456,21929,20474,22154,11863,36643,1718
,,,,,,,,13,10248,9308,14346,23944,14138,18889,9661,16635,22183,23720,7880,6964,11071,11395,28818,31584,9200,7496,4524,11335,21630,21401,22781,12031,39737,1872
,,,,,,,,14,10608,9785,15085,25329,13937,19325,9798,16519,22864,24118,8015,7089,11396,11485,29350,32391,9724,7583,4703,11151,21568,21446,22933,12682,39278,1844
,,,,,,,,15,10859,10627,16394,25635,13881,19593,9920,16642,23198,26265,8104,7192,11669,11566,29656,32776,9788,7629,4818,11167,21381,21623,22915,12342,39546,1862
,,,,,,,,16,10715,10135,15629,25548,13780,19762,10081,16763,23614,25655,8156,7224,11808,11571,30012,32939,9851,7708,4892,11303,21377,21773,22918,12444,39614,1861
,,,,,,,,17,10579,10051,15497,25835,13481,19815,10080,16845,23883,26124,7979,7074,11882,11517,30438,32805,9930,7803,4898,11380,21377,21956,22756,12526,39604,1860
,,,,,,,,18,10596,9984,15391,26774,14363,20387,10762,16504,24689,26013,8248,7275,12366,11925,31923,34027,9948,7853,4941,11208,21587,22583,23657,12539,37895,1767
,,,,,,,,19,10537,10034,15471,26723,15513,21342,11227,17021,25883,26320,8962,7926,13092,12357,32560,35382,9841,8335,5198,11689,21944,22957,24149,12450,38740,1799
,,,,,,,,20,10788,10017,15446,25726,15039,21321,11035,18086,26176,25630,8796,7802,13015,11752,31181,34303,10349,8701,5340,12614,20553,22666,23568,13073,42231,1951
,,,,,,,,21,11414,11219,17303,24118,14550,20814,10825,17553,25463,26065,8598,7664,12812,11444,30543,33982,10711,8428,5212,12382,20032,22067,22815,13829,41353,1900
,,,,,,,,22,11409,11615,17912,23330,14083,20600,10559,17405,24927,26332,8371,7500,12860,11026,29715,33414,10396,8249,5109,12223,19802,22095,22525,13684,40907,1877
,,,,,,,,23,11054,11228,17314,22883,13613,20513,10292,17330,24550,24893,8160,7354,12782,10654,28977,32858,10204,8171,5053,11972,19188,21966,22267,13179,40668,1869
,,,,,,,,24,10817,11011,16974,21760,12889,20069,9692,17061,23783,24137,7624,6949,12613,9697,26596,31167,9981,8022,4955,11653,17828,21160,21094,12836,40058,1850
,,,,,,,,25,10579,10773,16603,21525,12469,19368,9251,16312,22689,23662,6972,6527,12197,9378,25411,30047,9716,7637,4799,10929,18399,20459,20720,12424,37788,1745
,,,,,,,,26,10099,10388,16007,21003,11661,19216,8948,16280,22617,23261,6480,6078,12073,8914,24285,29082,9106,7565,4763,10612,17758,19963,20238,11909,37201,1722
,,,,,,,,27,9646,9661,14892,20280,11403,18910,8811,15748,21960,21046,6291,5895,11717,8913,24136,28933,9133,7406,4676,10298,17966,19904,20091,11620,36018,1669
,,,,,,,,28,9582,9227,14259,19413,11234,18847,8744,15585,21898,20863,6164,5753,11637,9003,24095,28678,9000,7435,4691,10280,18146,20037,20123,11506,35689,1657
,,,,,,,,29,9387,8672,13402,18696,11158,18882,8738,15352,21791,20005,6142,5701,11601,9257,24550,28946,9202,7447,4659,10260,19008,20496,20533,11294,35754,1663
,,,,,,,,30,9391,8355,12913,17995,10613,19325,8859,15460,21855,19812,6148,5704,11541,9709,25479,30162,9114,7520,4647,10410,19822,21521,21317,11243,36407,1697
,,,,,,,,31,9411,8060,12454,17142,10670,19550,9037,15792,21605,19710,6175,5708,11339,10066,26375,30951,9093,7671,4631,10851,20216,22610,21741,11223,37535,1745
,,,,,,,,32,9464,7952,12285,17652,11114,20033,9466,15939,22164,19945,6360,5905,11708,10809,27268,31962,8880,7908,4722,11090,21519,23190,22851,11410,38705,1806
,,,,,,,,33,9521,7980,12326,19581,11948,20685,9854,17162,22645,20457,6771,6294,12136,11655,29007,33630,8997,8105,4807,11912,22927,24640,24624,11506,41950,1957
,,,,,,,,34,9949,8101,12521,22602,13196,21832,10457,18383,23683,21317,7301,6796,12782,12638,31533,36301,9051,8449,5001,12725,24688,26545,26815,12045,44450,2077
,,,,,,,,35,10377,8568,13240,24463,13966,22907,10905,19640,25230,22882,7657,7105,13416,12792,32524,37468,9505,8994,5298,13534,24669,27805,27817,12423,47232,2212
,,,,,,,,36,10974,9368,14474,26618,15004,23735,11353,19742,25759,24572,8197,7565,13915,13613,34660,39629,10001,9145,5454,13616,26478,28701,29110,13151,47885,2252
,,,,,,,,37,11546,10357,15995,28116,15351,24605,11631,21350,26797,26532,8462,7806,14523,13630,35222,40536,10013,9550,5672,14496,26129,29483,29404,13739,51521,2445
,,,,,,,,38,11885,10832,16730,28181,15042,24601,11704,20901,27330,27300,8492,7855,14595,13463,34869,40242,10521,9545,5734,14240,25488,28995,28827,14279,50103,2371
,,,,,,,,39,12033,11700,18077,26520,14443,23899,11543,20348,27078,29887,8282,7689,14321,13176,33859,39002,10431,9296,5593,13760,24354,28253,27869,14105,48239,2275
,,,,,,,,40,11764,11392,17596,26461,14565,23467,11539,19506,26344,29026,8409,7754,14208,13569,34653,39508,10289,8870,5315,13226,25601,28445,28124,13914,45699,2142
,,,,,,,,41,11340,11058,17076,28345,14615,23744,11549,19843,26587,27836,8461,7745,14352,13772,35436,39885,10010,8978,5348,13261,27304,29577,29575,13286,45546,2137
,,,,,,,,42,10928,10541,16273,30039,15564,24175,12174,19839,27344,25928,8809,7990,14674,14483,37444,41312,10104,9041,5426,13101,28373,30314,31354,12839,44056,2053
,,,,,,,,43,10921,10741,16586,29350,16466,24794,12604,20568,28535,27024,9439,8567,15116,14691,37515,41772,10066,9362,5637,13598,28583,30235,31659,12927,44991,2084
,,,,,,,,44,11175,10796,16674,28336,16403,24802,12510,21530,28419,26806,9539,8672,15137,14615,37202,41641,10510,9598,5692,14377,28559,30173,31492,13650,47762,2196
,,,,,,,,45,11625,11870,18339,27042,16123,24687,12360,21506,28068,26567,9476,8606,15093,14429,36572,41223,10522,9525,5620,14324,28069,30061,30978,14172,47814,2192
,,,,,,,,46,11450,12060,18636,25967,15787,24639,12173,21156,27646,26175,9270,8415,15008,14125,35868,40857,10460,9416,5575,14144,27791,29985,30536,14008,47531,2178
,,,,,,,,47,11329,11944,18461,24898,15253,24447,11893,20847,27309,25567,9026,8181,14795,13691,34809,40224,10358,9297,5529,13931,27494,29858,30298,13859,46798,2146
,,,,,,,,48,11080,11716,18116,24015,14423,23957,11171,20254,26585,24765,8579,7758,14502,12734,32325,38399,10196,9129,5409,13659,26546,29238,29280,13554,45324,2092
,,,,,,,,49,10831,11381,17601,21920,13165,22815,10405,18960,25196,24053,7882,7127,13589,11684,30070,36352,9945,8699,5167,12721,24106,27798,26684,13082,42371,1959
,,,,,,,,50,10212,10859,16793,20743,12501,22039,10018,17008,23840,23207,7469,6747,12912,11401,29175,35584,9076,8312,4925,11768,23982,26710,25499,12385,39350,1823
,,,,,,,,51,9552,9964,15403,20192,12323,21912,9905,16671,23291,21167,7343,6622,12731,11412,28936,35486,8453,8169,4828,11510,24228,26669,25438,11931,38195,1774
,,,,,,,,52,8973,9079,14028,20219,12232,21883,9834,16558,23131,19562,7273,6529,12636,11463,28805,35396,8237,8166,4822,11470,24704,26957,25733,11476,37874,1762
,,,,,,,,53,8775,8588,13269,21444,12225,21916,9889,16729,23122,18788,7249,6481,12583,11737,29215,35821,8397,8209,4819,11566,26122,27672,26842,11305,38557,1800
,,,,,,,,54,8778,8272,12780,25239,13223,22520,10299,17427,23621,18375,7253,6481,12728,12760,30875,37336,8423,8388,4865,11906,30380,29339,30390,11227,40098,1878
,,,,,,,,55,8822,8041,12422,26479,13459,22980,10705,19701,24825,18250,7096,6314,13241,12821,31229,37320,8463,8813,5012,12881,29831,30689,31245,11414,44269,2082
,,,,,,,,56,9125,8078,12474,27300,14914,23072,11409,19748,25229,18668,7628,6852,13558,13778,33353,39150,8745,8814,5148,12779,31037,30575,31757,11896,45933,2171
,,,,,,,,57,9650,8528,13168,28895,16225,23932,11887,21091,25711,20351,8438,7629,14156,14447,35052,40996,8824,9200,5304,13863,32724,31715,33499,12510,50554,2386
,,,,,,,,58,10271,8915,13771,31334,17226,24960,12428,22544,26485,21392,9025,8190,14817,15207,37180,43201,9225,9527,5461,14770,35007,33418,35802,13051,52790,2497
,,,,,,,,59,10729,9471,14628,32865,17602,25843,12863,23695,27803,22977,9397,8487,15275,15453,38475,44468,9835,9977,5697,15484,35332,34815,37003,13298,55263,2620
,,,,,,,,60,11163,10426,16101,34929,20297,27250,13781,23866,28465,24181,10467,9326,15754,17167,43391,49486,10392,10126,5842,15547,38593,36404,39718,13922,55803,2662
,,,,,,,,61,11651,11406,17607,34983,23333,28506,14166,26462,30933,25631,10985,9732,17022,17092,43823,49866,10653,10842,6207,17281,37385,37142,39960,14461,61835,2985
,,,,,,,,62,12094,11809,18232,34001,22969,27887,13972,25745,31506,26170,11029,9781,16961,16593,42648,48129,11432,10649,6242,16746,35292,35368,38043,15257,59226,2847
,,,,,,,,63,12347,12856,19858,32611,21676,26448,13537,24081,30574,28981,10686,9527,16266,15951,40826,45763,11361,10144,6008,15676,33299,33328,36068,15039,55558,2650
,,,,,,,,64,12016,12810,19786,33097,21108,25275,13247,22441,29014,28271,10689,9515,15653,16187,41221,45445,10997,9485,5636,14619,34259,32615,35801,14669,51183,2415
,,,,,,,,65,11443,12262,18932,35308,20831,25034,13057,22410,28790,26900,10596,9404,15534,16229,41531,44913,10612,9421,5600,14386,34921,33156,36546,13864,50028,2354
,,,,,,,,66,10937,11545,17818,38292,21445,25176,13454,21817,29048,24781,10851,9555,15694,16737,43411,45809,10664,9327,5560,13887,35101,33384,37382,13293,47101,2194
,,,,,,,,67,10884,11580,17877,39236,22260,25653,13788,21958,29765,25552,11382,10054,16049,17118,43598,46267,10543,9551,5675,14057,35095,32869,37325,13312,47106,2178
,,,,,,,,68,11211,11521,17792,38746,22264,25466,13566,22762,29438,25434,11309,10000,16024,16850,42886,45646,10923,9569,5619,14690,34388,32349,36641,13984,49321,2262
,,,,,,,,69,11668,12462,19251,37617,22120,24940,13272,22248,28767,25540,11150,9845,15690,16628,42285,44968,10827,9297,5477,14421,33560,31497,35572,14470,48574,2218
,,,,,,,,70,11494,12593,19459,37178,22830,24897,13294,21611,28081,25204,11389,10057,15410,16821,43001,45531,10633,9113,5343,14118,33788,31346,35156,14282,47478,2166
,,,,,,,,71,11373,12415,19189,36990,23302,25119,13043,21625,28172,24526,11305,9948,15480,16681,42800,45425,10480,9132,5320,14050,33894,31707,35371,14135,46816,2139
,,,,,,,,72,11256,12075,18670,35385,23365,24715,12238,21180,27617,23886,10937,9592,15300,15646,40287,43441,10469,8959,5210,13612,32500,31373,34345,13905,44794,2061
,,,,,,,,73,11032,11868,18352,34502,22772,23609,11512,19724,26302,24007,10303,8996,14149,14879,38223,41718,10162,8439,5127,12555,31529,30396,33393,13365,41111,1898
,,,,,,,,74,10450,11347,17548,34119,22516,22955,11055,19047,24874,23293,9983,8680,13603,14591,37731,40885,9357,8068,4877,11743,31385,30018,32892,12674,38541,1783
,,,,,,,,75,9803,10505,16238,33684,16797,22450,10477,18843,24267,21497,8951,7886,13373,14229,35867,39316,8604,7930,4735,11481,30639,29650,32186,12206,37203,1728
,,,,,,,,76,9361,9650,14909,34112,16015,21815,10227,18187,23046,19985,8655,7625,12643,14207,35267,38684,8465,7674,4593,11077,30857,29371,32016,11785,36085,1675
,,,,,,,,77,9019,9144,14127,35816,16089,21643,10226,18373,22682,19216,8572,7535,12409,14463,35565,38835,8321,7603,4545,11082,32334,29981,33189,11487,36414,1697
,,,,,,,,78,8909,8623,13320,38856,16594,21956,10464,19031,23104,18549,8501,7472,12483,15280,37230,39998,8310,7721,4607,11346,34860,31236,35240,11389,37849,1771
,,,,,,,,79,8956,8325,12856,39327,16250,22329,10884,20119,24350,18319,8010,7011,12806,14829,36253,39670,8461,8158,4810,12085,32561,31393,34328,11573,40851,1913
,,,,,,,,80,9263,8328,12858,39127,17527,22833,11569,19458,24977,18772,8492,7514,13289,15772,37909,41445,8837,8336,4974,11976,33690,30835,34239,12159,43082,2026
,,,,,,,,81,9743,8807,13595,39622,18893,23408,12027,20860,25538,20323,9296,8298,13889,16497,39890,43206,8930,8649,5166,13123,35439,31762,35947,12783,46814,2200
,,,,,,,,82,10394,9193,14198,40679,19972,24081,12505,22151,26215,21707,9846,8840,14373,17232,42160,45220,9346,8801,5296,13909,36833,33039,37465,13300,48566,2286
,,,,,,,,83,10777,9768,15083,40856,20382,24747,12810,23490,27370,23319,10269,9194,14710,17170,43321,46032,9774,9151,5526,14707,36669,33890,38212,13413,51338,2419
,,,,,,,,84,11220,10664,16466,42002,23192,25790,13561,23564,27843,24443,11660,10287,14977,18932,49081,50461,10272,9257,5667,14750,41050,35533,41971,13864,51840,2456
,,,,,,,,85,11690,11536,17807,40329,26862,26564,13797,26465,29769,25780,12223,10722,15963,18527,49251,50263,10391,9850,6033,16469,38633,36030,41511,14388,56988,2730
,,,,,,,,86,11992,11893,18359,37313,26792,25681,13578,25153,30070,26345,12109,10648,15790,17589,47020,47738,11165,9693,6080,15811,34673,33535,37725,15111,54963,2620
,,,,,,,,87,12279,12928,19967,34089,25129,24232,13093,23099,29018,29077,11539,10228,15131,16586,44491,44576,11057,9304,5819,14801,31951,31054,34887,14926,51809,2448
,,,,,,,,88,12029,12858,19858,33259,23941,23335,12906,21073,27665,28473,11346,10068,14771,16588,44456,44037,10751,8715,5478,13767,32529,30033,33937,14490,47451,2214
,,,,,,,,89,11438,12309,19001,34100,23231,23121,12729,20723,27719,27056,11090,9823,14741,16205,43903,43150,10332,8706,5439,13534,32712,30074,33997,13687,46442,2161
,,,,,,,,90,11016,11606,17910,35886,23471,23228,13160,19818,28086,24926,11232,9883,14866,16194,44304,43667,10409,8603,5435,12968,32450,29915,34365,13150,43907,2023
,,,,,,,,91,10932,11753,18140,35902,23604,23700,13480,19957,28924,25778,11518,10172,15202,16266,43787,43856,10396,8902,5591,13163,31855,29142,33765,13171,43809,2005
,,,,,,,,92,11220,11714,18087,35068,23228,23445,13148,20321,28655,25727,11390,10084,15150,15477,42401,42724,10721,9020,5597,13676,30761,28379,32805,13807,45470,2069
,,,,,,,,93,11691,12578,19429,33877,22780,23082,12888,19918,28073,25830,11063,9783,14823,14951,41293,41875,10646,8894,5503,13573,29508,27402,31392,14286,45086,2047
,,,,,,,,94,11474,12660,19562,33047,23590,23016,12819,19335,27399,25376,11254,9957,14578,15002,41775,42162,10497,8767,5408,13395,29360,26979,30592,14126,44364,2013
,,,,,,,,95,11333,12470,19274,32511,24316,22996,12477,19295,27254,24670,11256,9912,14539,14746,41551,41473,10343,8739,5358,13370,29132,26773,30101,14004,44056,2003
,,,,,,,,96,11201,12176,18827,30874,24132,22302,11637,18462,26476,23949,10728,9422,14187,13523,38580,39219,10363,8487,5184,12878,27500,25955,28634,13672,42273,1930
,,,,,,,,97,10982,11955,18487,30266,23454,21314,10839,17075,25068,23707,10065,8805,13136,12722,36361,37076,10035,8066,4962,11920,26698,24808,27635,13192,39221,1796
,,,,,,,,98,10371,11415,17652,29708,22970,20803,10414,15838,24031,22916,9667,8416,12619,12421,35434,36201,9244,7778,4775,11070,26269,24166,26915,12522,36258,1661
,,,,,,,,99,9788,10576,16348,29484,16362,20220,9884,15353,23379,21125,8522,7529,12280,11903,33130,34536,8607,7606,4667,10761,25432,23811,26254,12011,34743,1595
,,,,,,,,100,9258,9749,15061,30177,15243,19738,9705,14804,22316,19400,8184,7241,11662,11717,32166,33873,8424,7412,4555,10452,25538,23719,26327,11554,33329,1525
,,,,,,,,101,8912,9193,14201,32070,15259,19764,9732,14822,22085,18628,8086,7140,11551,11879,32273,34157,8246,7370,4513,10407,26740,24438,27488,11185,32904,1506
,,,,,,,,102,8746,8673,13397,35402,15003,20324,10140,15517,22533,17834,7861,6966,11719,12514,33319,35689,8198,7498,4575,10769,28909,26165,29606,11047,33912,1558
,,,,,,,,103,8766,8389,12954,35848,14954,20986,10680,17000,23708,17590,7614,6730,12255,12235,32752,36451,8321,7802,4767,11621,27321,27165,29466,11268,37456,1729
,,,,,,,,104,9039,8396,12961,35405,16251,21840,11473,17479,24625,18046,8092,7232,12917,13470,35245,38537,8608,8161,4974,12073,28430,27089,29610,11968,40214,1864
,,,,,,,,105,9572,8797,13578,35126,17596,22312,11883,18749,25328,19891,8930,8061,13619,14209,37281,39945,8804,8404,5135,13114,29485,28000,30482,12659,43762,2029
,,,,,,,,106,10191,9210,14221,36116,18660,22881,12307,19515,25832,21050,9557,8681,14119,14843,39378,41649,9191,8513,5204,13646,30973,28943,31849,13185,45665,2123
,,,,,,,,107,10567,9673,14935,36927,19009,23337,12464,20742,26517,22753,9835,8899,14389,14674,40015,42076,9557,8827,5395,14347,31171,29830,32777,13310,48487,2261
,,,,,,,,108,11035,10563,16308,38443,21741,24173,13168,20774,27171,23803,10867,9724,14709,16423,45146,45472,9973,8887,5479,14240,34563,31316,35433,13820,49026,2299
,,,,,,,,109,11512,11452,17675,36930,24847,24812,13300,22790,28661,25217,11304,10073,15532,16048,44796,45119,10091,9286,5739,15364,32535,31817,34803,14321,53540,2540
,,,,,,,,110,11900,11756,18146,33671,24181,24065,13083,22013,28856,25774,11126,9951,15243,15225,42573,42989,10691,9187,5818,14936,29836,29617,32372,15085,51786,2445
,,,,,,,,111,12091,12758,19703,30242,22501,22603,12634,20733,27969,28469,10613,9577,14534,14339,39928,40169,10616,8806,5612,14076,27257,27219,29797,14829,48828,2286
,,,,,,,,112,11854,12729,19657,29310,21625,21447,12378,19055,26459,27959,10536,9509,13996,14294,39868,39785,10344,8142,5241,13040,27528,26238,28897,14402,45055,2084
,,,,,,,,113,11338,12241,18897,29611,20865,21260,12161,18961,26439,26641,10177,9187,13815,13969,39247,39160,9974,8105,5200,12814,27682,26366,28836,13615,44451,2053
,,,,,,,,114,10894,11585,17878,31108,20935,21429,12515,18381,26764,24419,10260,9200,13860,14360,40425,40004,10065,8053,5234,12331,28292,26797,29910,13122,42377,1943
,,,,,,,,115,10871,11730,18106,30502,21322,22144,12939,18677,27788,25234,10715,9643,14340,14658,40412,40748,10127,8367,5342,12593,28009,26507,29925,13081,42394,1934
