model_region,lat,lon
BASN,40.524631538747535,-114.43951235819726
CANO,38.58568513712248,-121.35182928570993
CASO,35.11115005222184,-117.37214609981017
FRCC,28.322376998609997,-81.8873423712021
ISNE,44.21551419193793,-70.72029864330736
MISC,39.083806615916345,-89.53021603423238
MISE,43.53854213563255,-84.57129688773807
MISS,32.37183408951491,-91.59182880259502
MISW,45.623774202536325,-95.50074805912645
NWPP,45.949863877665464,-117.14100038315087
NYCW,40.817914497863036,-73.20675915702527
NYUP,43.01618933851918,-75.59912871900829
PJMC,41.52251571834833,-89.05948563066879
PJMD,37.33075436228837,-77.77237480630528
PJME,40.38716909194539,-76.68226000714346
PJMW,39.381386240369814,-81.86201346424527
RMRG,41.05431565888141,-106.33913027914166
SPPC,38.38604128157643,-97.3629880768631
SPPN,43.349546504618594,-100.09918387428988
SPPS,35.037045514041125,-98.45927725469004
SRCA,34.79437694844289,-80.10115602561902
SRCE,35.80787930751943,-86.47197070667457
SRSE,32.331835429539815,-85.04743128938432
SRSG,34.3633756475696,-109.320242412378
TRE,30.334493017202057,-97.59663331657089
TRE_WEST,32.15109855473647,-101.61761793452237
